Localidade;IPDM_EmpRenda;Renda_PC;IPDM_Saude;IDHM_Long;IDHM_Educ
Palmas;0,4891;568,07;0,5781;0,827;0,505
Palmeira;0,4972;695,65;0,601;0,826;0,618
Palmital;0,3576;445,83;0,6146;0,791;0,511
Palotina;0,6166;884,56;0,8464;0,864;0,689
Paraíso do Norte;0,4656;862,18;0,7312;0,825;0,668
Paranacity;0,6101;579,53;0,8132;0,839;0,638
Paranaguá;0,5853;749,42;0,6546;0,852;0,676
Paranapoema;0,4404;548,09;0,7005;0,834;0,629
Paranavaí;0,5093;848,46;0,681;0,844;0,703
Pato Bragado;0,5404;824,89;0,7575;0,807;0,694
Pato Branco;0,6076;974,21;0,611;0,845;0,728
Paula Freitas;0,3982;599,20;0,6656;0,847;0,622
Paulo Frontin;0,3516;569,52;0,7596;0,806;0,639
Peabiru;0,3883;724,97;0,8361;0,826;0,629
Perobal;0,4544;547,06;0,8381;0,83;0,638
Pérola;0,4474;636,05;0,7968;0,804;0,607
Pérola d'Oeste;0,352;613,09;0,7262;0,809;0,679
Piên;0,6051;529,83;0,7044;0,802;0,616
Pinhais;0,6868;845,36;0,6339;0,836;0,666
Pinhal de São Bento;0,3181;514,86;0,9145;0,801;0,626
Pinhalão;0,3572;545,44;0,8045;0,828;0,601
Pinhão;0,4216;453,90;0,5442;0,806;0,534
Piraí do Sul;0,4649;629,09;0,5437;0,816;0,619
Piraquara;0,3859;556,48;0,6126;0,869;0,574
Pitanga;0,4087;600,95;0,7447;0,802;0,621
Pitangueiras;0,4292;518,31;0,665;0,842;0,634
Planaltina do Paraná;0,4369;554,48;0,7259;0,795;0,646
Planalto;0,367;629,73;0,6011;0,786;0,636
Ponta Grossa;0,6247;862,43;0,4908;0,837;0,703
Pontal do Paraná;0,4187;772,19;0,5667;0,831;0,655
Porecatu;0,472;715,67;0,6914;0,834;0,661
Porto Amazonas;0,4942;646,76;0,6481;0,815;0,595
Porto Barreiro;0,4883;525,90;0,7331;0,821;0,588
Porto Rico;0,4184;580,87;0,9308;0,846;0,68
Porto Vitória;0,3904;517,86;0,7325;0,796;0,6
Prado Ferreira;0,4334;633,16;0,6636;0,852;0,593
Pranchita;0,3975;813,42;0,67;0,821;0,696
Presidente Castelo Branco;0,3673;592,32;0,7564;0,857;0,608
Primeiro de Maio;0,3498;580,45;0,8154;0,826;0,599
Prudentópolis;0,389;492,10;0,6913;0,807;0,577
Quarto Centenário;0,4401;719,34;0,873;0,819;0,603
Quatiguá;0,4254;580,95;0,6707;0,803;0,655
Quatro Barras;0,8047;782,03;0,7196;0,831;0,665
Quatro Pontes;0,5319;1092,06;0,7742;0,838;0,748
Quedas do Iguaçu;0,4565;562,31;0,7741;0,794;0,576
Querência do Norte;0,3677;503,20;0,5197;0,808;0,604
